2026-09-17 11:31:29,584 - DigitalTwin - INFO - Scenario: fan_failure | True: {'co2_ppm': 420.132455458535, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 200.0, 'captured_co2_g': 0.002016635786200968, 'fan_speed_rpm': 800.0} | Cmd RPM: 1000.0
2026-09-17 11:31:30,585 - DigitalTwin - INFO - Scenario: fan_failure | True: {'co2_ppm': 419.7334245766062, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 160.0, 'captured_co2_g': 0.003628412136575136, 'fan_speed_rpm': 640.0} | Cmd RPM: 1000.0
2026-09-17 11:31:31,586 - DigitalTwin - INFO - Scenario: fan_failure | True: {'co2_ppm': 419.88914356366644, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 128.0, 'captured_co2_g': 0.004918311585602719, 'fan_speed_rpm': 512.0} | Cmd RPM: 1000.0
2026-09-17 11:31:32,589 - DigitalTwin - INFO - Scenario: fan_failure | True: {'co2_ppm': 420.08291881072194, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 102.4, 'captured_co2_g': 0.005950707366871949, 'fan_speed_rpm': 409.6} | Cmd RPM: 1000.0
2026-09-17 11:31:33,590 - DigitalTwin - INFO - Scenario: fan_failure | True: {'co2_ppm': 420.4088925182159, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 81.92, 'captured_co2_g': 0.006777264882274163, 'fan_speed_rpm': 327.68} | Cmd RPM: 1000.0
2026-09-17 11:31:34,591 - DigitalTwin - INFO - Scenario: fan_failure | True: {'co2_ppm': 420.4378864920146, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 65.536, 'captured_co2_g': 0.0074385564981735396, 'fan_speed_rpm': 262.144} | Cmd RPM: 1000.0
2026-09-17 11:31:35,593 - DigitalTwin - INFO - Scenario: fan_failure | True: {'co2_ppm': 420.15749552928287, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 52.4288, 'captured_co2_g': 0.007967236977412076, 'fan_speed_rpm': 209.7152} | Cmd RPM: 1000.0
2026-09-17 11:31:36,594 - DigitalTwin - INFO - Scenario: fan_failure | True: {'co2_ppm': 420.02121132284026, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 41.94304, 'captured_co2_g': 0.008390044172628772, 'fan_speed_rpm': 167.77216} | Cmd RPM: 1000.0
2026-09-17 11:31:37,598 - DigitalTwin - INFO - Scenario: fan_failure | True: {'co2_ppm': 419.70773247248644, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 33.554432000000006, 'captured_co2_g': 0.008728037482287706, 'fan_speed_rpm': 134.21772800000002} | Cmd RPM: 1000.0
2026-09-17 11:31:38,602 - DigitalTwin - INFO - Scenario: fan_failure | True: {'co2_ppm': 419.8977293873025, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 26.843545600000006, 'captured_co2_g': 0.008998554534595174, 'fan_speed_rpm': 107.37418240000002} | Cmd RPM: 1000.0
2026-09-17 11:31:39,602 - DigitalTwin - INFO - Scenario: fan_failure | True: {'co2_ppm': 419.6282766193444, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 21.474836480000004, 'captured_co2_g': 0.009214829301542006, 'fan_speed_rpm': 85.89934592000002} | Cmd RPM: 1000.0
2026-09-17 11:31:40,604 - DigitalTwin - INFO - Scenario: fan_failure | True: {'co2_ppm': 419.60777204833516, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 17.179869184000005, 'captured_co2_g': 0.009387840660719128, 'fan_speed_rpm': 68.71947673600002} | Cmd RPM: 1000.0
2026-09-17 11:31:41,605 - DigitalTwin - INFO - Scenario: fan_failure | True: {'co2_ppm': 419.5318139258018, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 13.743895347200004, 'captured_co2_g': 0.009526224693009141, 'fan_speed_rpm': 54.975581388800016} | Cmd RPM: 1000.0
2026-09-17 11:31:42,606 - DigitalTwin - INFO - Scenario: fan_failure | True: {'co2_ppm': 419.6762969691297, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 10.995116277760003, 'captured_co2_g': 0.009636970045429828, 'fan_speed_rpm': 43.98046511104001} | Cmd RPM: 1000.0
2026-09-17 11:31:43,608 - DigitalTwin - INFO - Scenario: fan_failure | True: {'co2_ppm': 420.14000657940613, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 8.796093022208002, 'captured_co2_g': 0.009725664219355194, 'fan_speed_rpm': 35.184372088832006} | Cmd RPM: 1000.0
2026-09-17 11:31:44,609 - DigitalTwin - INFO - Scenario: fan_failure | True: {'co2_ppm': 420.26691995908664, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 7.036874417766401, 'captured_co2_g': 0.009796640992259839, 'fan_speed_rpm': 28.147497671065604} | Cmd RPM: 1000.0
2026-09-17 11:31:45,610 - DigitalTwin - INFO - Scenario: fan_failure | True: {'co2_ppm': 420.2541307685301, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 5.629499534213121, 'captured_co2_g': 0.009853420682661741, 'fan_speed_rpm': 22.517998136852484} | Cmd RPM: 1000.0
2026-09-17 11:31:46,611 - DigitalTwin - INFO - Scenario: fan_failure | True: {'co2_ppm': 419.9116215352258, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 4.503599627370496, 'captured_co2_g': 0.00989880741439633, 'fan_speed_rpm': 18.014398509481985} | Cmd RPM: 1000.0
2026-09-17 11:31:47,612 - DigitalTwin - INFO - Scenario: fan_failure | True: {'co2_ppm': 419.45954336373103, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 3.602879701896397, 'captured_co2_g': 0.009935077708985577, 'fan_speed_rpm': 14.411518807585589} | Cmd RPM: 1000.0
2026-09-17 11:31:48,614 - DigitalTwin - INFO - Scenario: fan_failure | True: {'co2_ppm': 419.9111681685776, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 2.8823037615171176, 'captured_co2_g': 0.009964125185933946, 'fan_speed_rpm': 11.52921504606847} | Cmd RPM: 1000.0
2026-09-17 11:31:49,615 - DigitalTwin - INFO - Scenario: fan_failure | True: {'co2_ppm': 419.8921280193425, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 2.305843009213694, 'captured_co2_g': 0.00998736211380636, 'fan_speed_rpm': 9.223372036854776} | Cmd RPM: 1000.0
2026-09-17 11:31:50,615 - DigitalTwin - INFO - Scenario: fan_failure | True: {'co2_ppm': 420.11595613401084, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 1.8446744073709553, 'captured_co2_g': 0.010005961565464166, 'fan_speed_rpm': 7.378697629483821} | Cmd RPM: 1000.0
2026-09-17 11:31:51,617 - DigitalTwin - INFO - Scenario: fan_failure | True: {'co2_ppm': 419.7501123133851, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 1.4757395258967643, 'captured_co2_g': 0.010020828169425938, 'fan_speed_rpm': 5.902958103587057} | Cmd RPM: 1000.0
2026-09-17 11:31:52,618 - DigitalTwin - INFO - Scenario: fan_failure | True: {'co2_ppm': 419.88715450712243, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 1.1805916207174114, 'captured_co2_g': 0.010032725335576129, 'fan_speed_rpm': 4.722366482869646} | Cmd RPM: 1000.0
2026-09-17 11:31:53,619 - DigitalTwin - INFO - Scenario: fan_failure | True: {'co2_ppm': 419.6213217487682, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 0.9444732965739291, 'captured_co2_g': 0.010042237042769683, 'fan_speed_rpm': 3.7778931862957164} | Cmd RPM: 1000.0
2026-09-17 11:31:54,620 - DigitalTwin - INFO - Scenario: fan_failure | True: {'co2_ppm': 419.34614507997355, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 0.7555786372591433, 'captured_co2_g': 0.010049841418501829, 'fan_speed_rpm': 3.0223145490365733} | Cmd RPM: 1000.0
2026-09-17 11:31:55,622 - DigitalTwin - INFO - Scenario: fan_failure | True: {'co2_ppm': 419.83879477677254, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 0.6044629098073147, 'captured_co2_g': 0.010055932066010808, 'fan_speed_rpm': 2.4178516392292586} | Cmd RPM: 1000.0
2026-09-17 11:31:56,623 - DigitalTwin - INFO - Scenario: fan_failure | True: {'co2_ppm': 419.7980379083754, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 0.48357032784585174, 'captured_co2_g': 0.010060804111006497, 'fan_speed_rpm': 1.934281311383407} | Cmd RPM: 1000.0
2026-09-17 11:31:57,623 - DigitalTwin - INFO - Scenario: fan_failure | True: {'co2_ppm': 419.855945059784, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 0.3868562622766814, 'captured_co2_g': 0.010064702284644908, 'fan_speed_rpm': 1.5474250491067256} | Cmd RPM: 1000.0
2026-09-17 11:31:58,624 - DigitalTwin - INFO - Scenario: fan_failure | True: {'co2_ppm': 419.54614336186853, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 0.30948500982134514, 'captured_co2_g': 0.010067818522460081, 'fan_speed_rpm': 1.2379400392853805} | Cmd RPM: 1000.0
2026-09-17 11:31:59,624 - DigitalTwin - INFO - Scenario: fan_failure | True: {'co2_ppm': 419.3457790990387, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 0.2475880078570761, 'captured_co2_g': 0.01007031032212529, 'fan_speed_rpm': 0.9903520314283044} | Cmd RPM: 1000.0
2026-09-17 11:32:00,625 - DigitalTwin - INFO - Scenario: fan_failure | True: {'co2_ppm': 419.58597800561824, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 0.1980704062856609, 'captured_co2_g': 0.01007230490368854, 'fan_speed_rpm': 0.7922816251426436} | Cmd RPM: 1000.0
2026-09-17 11:32:01,626 - DigitalTwin - INFO - Scenario: fan_failure | True: {'co2_ppm': 419.1859861145994, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 0.15845632502852872, 'captured_co2_g': 0.010073899047789256, 'fan_speed_rpm': 0.6338253001141149} | Cmd RPM: 1000.0
2026-09-17 11:32:02,627 - DigitalTwin - INFO - Scenario: fan_failure | True: {'co2_ppm': 418.9282205218011, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 0.12676506002282298, 'captured_co2_g': 0.010075173578853729, 'fan_speed_rpm': 0.5070602400912919} | Cmd RPM: 1000.0
2026-09-17 11:32:03,627 - DigitalTwin - INFO - Scenario: fan_failure | True: {'co2_ppm': 419.0716026915678, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 0.10141204801825839, 'captured_co2_g': 0.010076193552681615, 'fan_speed_rpm': 0.40564819207303354} | Cmd RPM: 1000.0
2026-09-17 11:32:04,629 - DigitalTwin - INFO - Scenario: fan_failure | True: {'co2_ppm': 419.32340476773936, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 0.08112963841460671, 'captured_co2_g': 0.010077010022030597, 'fan_speed_rpm': 0.32451855365842686} | Cmd RPM: 1000.0
